Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
23,"30","Interdisciplinary Studies",2015,22500.018672324946,4306.149551922315,697,16495,3153.0092698565336,0.021326137997372856
23,"30","Interdisciplinary Studies",2016,22383.66175079303,4036.3722257594277,728,17969,3290.8583446264847,0.022730262658564107
23,"30","Interdisciplinary Studies",2017,22868.99504179879,4162.197021687603,720,17345,3233.2240292165584,0.0212985941331552
23,"30","Interdisciplinary Studies",2018,22831.178113422626,4244.869828962666,705,17545,3251.811763881352,0.020804898785857173
23,"30","Interdisciplinary Studies",2019,24763.492536491325,3743.5417349687746,731,18155,3307.853887030258,0.020821004729596446
23,"30","Interdisciplinary Studies",2020,24438.71728232832,3458.1080928386996,730,20547,3518.998277592151,0.0225195060548504
23,"30","Interdisciplinary Studies",2021,26410.657980135707,3514.56071413667,736,20338,3501.0603052604147,0.021328249286104547
23,"30","Interdisciplinary Studies",2022,29949.338691368113,3965.9445309552084,772,22023,3643.188166541687,0.02246619054079833
23,"30","Interdisciplinary Studies",2023,31852.17048311166,4194.930915254137,805,21879,3631.2614773491296,0.02175144950013123
24,"30","Interdisciplinary Studies",2014,27090.137535218615,3498.046171317891,790,19166,3398.679238850203,0.025529919664538506
24,"30","Interdisciplinary Studies",2015,26820.75507141128,3174.4255647885393,845,20655,3528.2163862378748,0.026704539577795477
24,"30","Interdisciplinary Studies",2016,27792.24835958005,3265.3113492031184,860,21336,3585.903330200797,0.026989419783133385
24,"30","Interdisciplinary Studies",2017,28672.57207360295,3370.344008383169,874,20597,3523.2684429276846,0.025291850294643856
24,"30","Interdisciplinary Studies",2018,29223.338033029333,3480.0971523183125,881,20285,3496.4888652238055,0.02405399668686878
24,"30","Interdisciplinary Studies",2019,30254.338700940563,3455.7211160605693,884,20307,3498.3876102267495,0.0232890191706921
24,"30","Interdisciplinary Studies",2020,32544.026626790797,3651.0689921876456,850,20731,3534.7174321717403,0.02272117000161112
24,"30","Interdisciplinary Studies",2021,33718.99609356161,3926.2331901129073,865,20735,3535.0610474112727,0.021744579061234035
24,"30","Interdisciplinary Studies",2022,37126.18155283129,4082.4384065826916,864,22269,3663.476163727561,0.02271714104132216
24,"30","Interdisciplinary Studies",2023,40794.00388176971,6220.018473936637,830,21382,3589.786784788549,0.021257346917674756
25,"30","Interdisciplinary Studies",2014,35440.886691250416,4804.790033679869,801,20881,3547.458878710729,0.02781437193547055
25,"30","Interdisciplinary Studies",2015,35637.33630006357,4595.777290620607,852,22022,3643.0813109749806,0.028471913366362234
25,"30","Interdisciplinary Studies",2016,37052.5273156033,5135.512168878763,885,22899,3714.906951939122,0.02896656934823638
25,"30","Interdisciplinary Studies",2017,36407.43316478672,4399.702424476575,915,23139,3734.3258862773337,0.028413270086311802
25,"30","Interdisciplinary Studies",2018,38010.14807403702,4518.790308228611,953,23988,3802.2105774064094,0.028445022061849068
25,"30","Interdisciplinary Studies",2019,38407.827458180334,4596.009643077071,989,24510,3843.3554026985566,0.028109216520099636
25,"30","Interdisciplinary Studies",2020,40682.61833532518,4814.503598173762,1004,25939,3953.790079319193,0.028429136494707966
25,"30","Interdisciplinary Studies",2021,42226.34242323467,4556.327655648149,1044,27063,4038.534090571611,0.028380686912668276
25,"30","Interdisciplinary Studies",2022,47319.01755404033,6102.60932591559,1070,27572,4076.3323633355844,0.028126858538386756
25,"30","Interdisciplinary Studies",2023,49098.95928003408,6086.695631651476,1097,28168,4120.148707718525,0.0280037858000684
26,"30","Interdisciplinary Studies",2014,39547.324359576356,7320.610312213528,786,19167,3398.767889593145,0.02553125170667899
26,"30","Interdisciplinary Studies",2015,39482.155298899575,7234.196550567026,825,20174,3486.899015288414,0.02608266189505911
26,"30","Interdisciplinary Studies",2016,39497.40427065502,6670.176194599028,915,22198,3657.612384567439,0.028079824725627804
26,"30","Interdisciplinary Studies",2017,39815.30355707821,6104.34198171822,988,23643,3774.769648543758,0.0290321511150296
26,"30","Interdisciplinary Studies",2018,39268.56274334848,4185.135303505144,1033,24656,3854.7788233466604,0.029237137900489856
26,"30","Interdisciplinary Studies",2019,41414.37893222382,4408.1337706290415,1087,25717,3936.8355768499787,0.029493460679208584
26,"30","Interdisciplinary Studies",2020,46097.49146324256,5614.11295992828,1100,28348,4133.278767595435,0.031069399797678452
26,"30","Interdisciplinary Studies",2021,48449.278504469155,5875.732590964029,1084,27522,4072.6315248366664,0.028862035443611437
26,"30","Interdisciplinary Studies",2022,54066.361347262246,6377.50517606453,1086,27760,4090.203489332776,0.028318641847730173
26,"30","Interdisciplinary Studies",2023,57214.48263273552,6594.399253244626,1097,28214,4123.510939564351,0.028049517628625738
27,"30","Interdisciplinary Studies",2014,40322.25352582428,5117.871448368697,888,20988,3556.5349569021573,0.027956900444502462
27,"30","Interdisciplinary Studies",2015,40610.25352685838,5151.485764870329,941,22116,3650.846972998972,0.02859344455591986
27,"30","Interdisciplinary Studies",2016,41617.61416614166,6342.117475395786,961,22222,3659.588806508953,0.02811018402797104
27,"30","Interdisciplinary Studies",2017,42800.56421981224,6038.885463023307,1026,24712,3859.1485962903657,0.030344817423956835
27,"30","Interdisciplinary Studies",2018,45478.927544035076,6327.797558090203,1081,26002,3958.5809675200044,0.030833227599307966
27,"30","Interdisciplinary Studies",2019,47686.08845244069,6122.041694089473,1154,27902,4100.6395270211915,0.03199932106665933
27,"30","Interdisciplinary Studies",2020,48277.542190365064,5765.415886453885,1157,29995,4251.630559718924,0.032874511321129014
27,"30","Interdisciplinary Studies",2021,51340.01730248743,5368.021062810522,1208,31036,4324.76918452583,0.03254713073279284
27,"30","Interdisciplinary Studies",2022,57148.88870978575,6167.914029804356,1195,29778,4236.23524942114,0.030377252051214304
27,"30","Interdisciplinary Studies",2023,59675.22547421715,6309.496318362043,1220,28837,4168.780001946447,0.028668885654521883
28,"30","Interdisciplinary Studies",2014,48244.821620337374,4989.62311898272,902,21045,3561.3604284901953,0.028032826846510116
28,"30","Interdisciplinary Studies",2015,47274.07278251406,4811.302809938997,938,22052,3645.561512134814,0.02851069991622105
28,"30","Interdisciplinary Studies",2016,47777.63535179541,5536.479002844871,985,22641,3693.923349577908,0.02864020684804663
28,"30","Interdisciplinary Studies",2017,49185.7393952121,5628.309221548787,1033,23810,3788.075353607696,0.029237216852719822
28,"30","Interdisciplinary Studies",2018,49850.53458386733,5304.014014941574,1092,25749,3939.2787615005836,0.030533219654433535
28,"30","Interdisciplinary Studies",2019,52484.320999009484,5716.322068393161,1161,28268,4127.4415530392625,0.03241906701714307
28,"30","Interdisciplinary Studies",2020,54787.509460942434,6000.498540895537,1187,30071,4257.0123638189025,0.03295780729913887
28,"30","Interdisciplinary Studies",2021,57541.185029131964,6114.02904905335,1238,30379,4278.7582101963235,0.031858141659089886
28,"30","Interdisciplinary Studies",2022,62151.16063268893,6632.050363671897,1276,31295,4342.777928397923,0.03192478013777795
28,"30","Interdisciplinary Studies",2023,65936.85376642666,7175.1064549269295,1301,30971,4320.246540271729,0.030790444831508036
29,"30","Interdisciplinary Studies",2014,48880.60670152091,5011.421331641243,891,21040,3560.937403311935,0.02802616663580769
29,"30","Interdisciplinary Studies",2015,46827.85390946502,4837.030541613411,918,21384,3589.9297591835602,0.027647052739364728
29,"30","Interdisciplinary Studies",2016,48541.21460577338,4809.492098887927,999,23210,3740.0445519834952,0.029359975307767426
29,"30","Interdisciplinary Studies",2017,50546.559521819094,4793.901450220281,1030,23924,3797.1314950678147,0.029377201847310755
29,"30","Interdisciplinary Studies",2018,52746.57809371246,4992.545434431217,1087,24970,3879.242764367457,0.029609479776737172
29,"30","Interdisciplinary Studies",2019,53684.20543424032,5166.938232788858,1131,26057,3962.769695743047,0.02988338861135195
29,"30","Interdisciplinary Studies",2020,56869.46155211588,5584.540653561979,1152,28168,4120.137911317932,0.03087211984976036
29,"30","Interdisciplinary Studies",2021,61642.01956302521,6663.575001491614,1202,29750,4234.239307613922,0.031198515894464072
29,"30","Interdisciplinary Studies",2022,66574.20985072706,7201.010084953388,1279,31084,4328.116029435522,0.03170953397675953
29,"30","Interdisciplinary Studies",2023,69364.94736512705,7647.266189364728,1285,31956,4388.395173551524,0.031769702464746724
30,"30","Interdisciplinary Studies",2014,52731.64247965775,6020.871149472576,955,23842,3790.6036818849648,0.0317585487134471
30,"30","Interdisciplinary Studies",2015,51877.25768831708,6122.0710741849325,943,24095,3810.6645877158257,0.031152063961606486
30,"30","Interdisciplinary Studies",2016,51090.98213995118,5400.601878908824,979,24580,3848.8239457818163,0.031092985483193596
30,"30","Interdisciplinary Studies",2017,54582.85264439122,6254.575517403048,1035,25469,3917.8008907541516,0.03127436690558258
30,"30","Interdisciplinary Studies",2018,54827.00623268698,5991.559968141357,1069,25992,3957.8198226118016,0.030821369577771426
30,"30","Interdisciplinary Studies",2019,56864.00697997369,6108.249455193453,1169,27364,4060.9206614244413,0.031382317456385415
30,"30","Interdisciplinary Studies",2020,58346.791495775935,5930.03040815401,1186,28527,4146.305287200138,0.031265583745885894
30,"30","Interdisciplinary Studies",2021,62487.42750024665,6188.609478595411,1271,30407,4280.729201428549,0.03188750496816703
30,"30","Interdisciplinary Studies",2022,66911.02144772118,5964.222083654382,1348,32078,4396.759079759036,0.032723537218713565
30,"30","Interdisciplinary Studies",2023,71015.41157674819,6847.6640318512855,1366,32548,4428.848639243577,0.03235825121487597
31,"30","Interdisciplinary Studies",2014,56636.81590622775,9350.990874409083,846,18257,3317.1154160341175,0.0243190933588375
31,"30","Interdisciplinary Studies",2015,58121.83503096688,9569.479256213921,898,19537,3431.4153628475865,0.025259094153056896
31,"30","Interdisciplinary Studies",2016,60018.379502292075,9481.338570458038,960,21378,3589.430495623471,0.02704254856223404
31,"30","Interdisciplinary Studies",2017,61046.82696069714,9097.552268082403,1016,22492,3681.7554105180147,0.027618793845080817
31,"30","Interdisciplinary Studies",2018,64513.71027919316,9244.349398641329,1076,23747,3783.065663831471,0.028159243742818484
31,"30","Interdisciplinary Studies",2019,66243.28049166074,8451.593968064377,1134,25302,3904.947122082519,0.02901751923262183
31,"30","Interdisciplinary Studies",2020,66974.5749662488,9031.2684572702,1125,25925,3952.7231355881217,0.02841379249875878
31,"30","Interdisciplinary Studies",2021,68646.50236142182,9136.613933544264,1232,28161,4119.6302585947,0.02953214810433623
31,"30","Interdisciplinary Studies",2022,74733.69124560308,9181.035084199222,1303,30419,4281.577991592579,0.03103115152615649
31,"30","Interdisciplinary Studies",2023,77055.40233882135,9351.898602590469,1385,32495,4425.242045253513,0.032305560195016424
32,"30","Interdisciplinary Studies",2014,56907.42842799771,8312.485516519271,873,20916,3550.430244291116,0.02786099341038753
32,"30","Interdisciplinary Studies",2015,58077.24259546159,8388.888713209468,908,21946,3636.790559811903,0.0283736541067199
